Caso,Tamaño,Tiempo
10000_aleatorio,10000,37.210659980773926
10000_alternado,10000,37.36041569709778
10000_constantes,10000,34.67723727226257
10000_negativas,10000,32.814367055892944
10000_positivas,10000,31.609691381454468
1000_aleatorio,1000,0.3093273639678955
1000_alternado,1000,0.3240535259246826
1000_constantes,1000,0.30791521072387695
1000_negativas,1000,0.3314180374145508
1000_positivas,1000,0.3195812702178955
2000_aleatorio,2000,1.4511640071868896
2000_alternado,2000,1.4451699256896973
2000_constantes,2000,1.355959177017212
2000_negativas,2000,1.3938124179840088
2000_positivas,2000,1.4119267463684082
4000_aleatorio,4000,5.428194761276245
4000_alternado,4000,5.28813910484314
4000_constantes,4000,5.006173133850098
4000_negativas,4000,5.060689926147461
4000_positivas,4000,5.05499267578125
6000_aleatorio,6000,11.719744682312012
6000_alternado,6000,11.605360507965088
6000_constantes,6000,11.219024896621704
6000_negativas,6000,11.176272630691528
6000_positivas,6000,11.111692905426025
8000_aleatorio,8000,20.719106912612915
8000_alternado,8000,20.552369117736816
8000_constantes,8000,19.724306106567383
8000_negativas,8000,19.746127605438232
8000_positivas,8000,19.761546850204468
